Tokens,Tags,__index_level_0__,input_ids,word_ids,attention_masks,labels
"['Амстердам' ',' 'вулкан' ',' 'літаки' '…']",['B-GPE' 'O' 'O' 'O' 'O' 'O'],0,"[     101 13664456  6459904  3151872  2103296 13664256  7378944  2136064
 13664456  6459904  3248640 13665128  7641088  2097472 13664456  6461440
  7641344 13664520  2103296 13664456  2097472 13664512      102]","[nan  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  2.  2.  2.  2.  2.  4.  4.
  4.  4.  4.  4. nan]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    3    3    3    3    3    3    3    3    3    0    0    0    0
    0    0    0    0    0    0    0    0 -100]"
"['Вже' 'напевно' 'багато' 'хто' 'чув' 'новини' '–' 'в' 'Ісландії'
 'продовжується' 'виверження' 'вулкану' '.']",['O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'B-GPE' 'O' 'O' 'O' 'O'],1,"[     101  3248640  3180544 13664256  6461440 13664456  2101760 13664256
  3248640  6461440 13664352  2134528 13664456  7372800 13664456  2103296
 13664352  3146048  2103296 13664352  2623488 13665128  3248640  6461440
 13664352  3248640 13664512  6461440 13664512  3248640 13664520  3151872
  7641088 13664456  6461440  2136320 13664520  5275904 13664520  2101760
  7378944 13664352  2136064 13664352  3248640  3180544 13665128 13664256
  2103552  3152128 13664456  3248640 13664512  3248640 13664256  7378944
  3180544 13664256  6461440  6461696 13664456  3248640 13665128  7641088
  2097472 13664456  6461440 13665128      102]","[nan  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  2.  3.
  3.  3.  4.  4.  4.  5.  5.  5.  5.  5.  5.  7.  8.  8.  8.  8.  8.  8.
  8.  8.  8.  9.  9.  9.  9.  9.  9.  9.  9.  9.  9.  9.  9. 10. 10. 10.
 10. 10. 10. 10. 10. 10. 10. 11. 11. 11. 11. 11. 11. 11. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    5    5    5
    5    5    5    6    6    6    0    0    0    0    0    0    0    0
    0    0    3    3    3    3    3    3    3    3    3    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0 -100]"
"['В' 'наслідок' 'цього' 'велика' 'хмара' 'вулканічного' 'пилу'
 'насунулася' 'на' 'Європу' '.']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O'],2,"[     101  3248640  6461440 13664456  3151872  7641344 13664520  2136064
 13664352  2097472  2627840 13664352  7372800 13664352  3248640 13664256
  7641088 13664512  2097472 13664456  3146048  6459904 13664456  7378944
 13664456  3248640 13665128  7641088  2097472 13664456  6461696 13664520
  2623488  6461440 13664352  7372800 13664352  2101760 13664512  7641088
 13665128  6461440 13664456  3151872 13665128  6461440 13665128  7641088
 13664456  3152128 13664456  6461440 13664456  5275904 13664256  3248640
  7378944 13664352  2101760 13665128      102]","[nan  0.  1.  1.  1.  1.  1.  1.  1.  1.  2.  2.  2.  2.  3.  3.  3.  3.
  3.  3.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.
  5.  6.  6.  6.  6.  7.  7.  7.  7.  7.  7.  7.  7.  7.  7.  8.  8.  9.
  9.  9.  9.  9.  9.  9. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    1    1    1
    1    1    1    1 -100]"
"['Ця' 'хмара' 'знаходиться' 'досить' 'високо' ',' 'тому' 'з' 'землі' 'її'
 'не' 'видно' '.']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],3,"[     101  2627840 13664456  3146048  6459904 13664456  7378944 13664456
  3184640  6461440 13664456  3146048 13664352  2136064 13664512  2103552
  3152128 13664456  2136064 13664352  3151872 13664512  2103552  3248640
 13664512  3151872 13664352  2097472 13664352  2103296 13664352  6459904
 13665128  3184640  3184640 13664256  6459904  7641344 13664520  5275904
 13664520  5275904 13664520  6461440 13664256  3248640 13664512  2136064
  6461440 13664352      102]","[nan  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  2.  2.  2.  2.  2.
  3.  3.  3.  3.  3.  4.  4.  4.  4.  4.  4.  6.  6.  6.  6.  7.  8.  8.
  8.  8.  8.  9.  9.  9.  9. 10. 10. 11. 11. 11. 11. 11. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0 -100]"
"['І' 'проблема' 'навіть' 'не' 'в' 'тому' 'що' 'через' 'неї' 'погіршується'
 'видимість' '.']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],4,"[     101 13664520  2101760  7378944 13664352  2134528  7641088 13664256
  6459904 13664456  6461440 13664456  3248640 13664520  2103552  6461440
 13664256  3248640  2103296 13664352  6459904 13665128  3147776  2623488
 13664352  2623488 13664256  7378944 13664256  3184640  6461440 13664256
  5275904 13664520  2101760 13664352  7372800 13664520  7378944  3147776
 13665128 13664256  2103552  3152128 13664456  3248640 13664512  2136064
 13664512  6459904 13664520  3151872  2103552      102]","[nan  0.  1.  1.  1.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  4.
  5.  5.  5.  5.  6.  6.  6.  7.  7.  7.  7.  7.  8.  8.  8.  8.  9.  9.
  9.  9.  9.  9.  9.  9.  9.  9.  9. 10. 10. 10. 10. 10. 10. 10. 10. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0 -100]"
"['Ці' 'мікрочастинки' 'пилу' 'при' 'попаданні' 'в' 'двигуни' 'літаків'
 'можуть' 'їх' 'пошкодити' '.']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],5,"[     101  2627840 13664520  6459904 13664520  2097472  7378944 13664352
  2623488 13664456  3151872  2103296 13664512  6461440  2097472 13664512
  2101760 13664512  7641088 13665128  2101760  7378944 13664512  2101760
 13664352  2101760 13664456  2136064 13664456  6461440  6461696 13664520
  3248640  2136064  3248640 13664512  7372800 13665128  6461440 13664512
  7641344 13664520  2103296 13664456  2097472 13664520  3248640  6459904
 13664352  3180544 13665128  2103552  5275904 13664520  3146048  2101760
 13664352  3147776  2097472 13664352  2136064 13664512  2103296 13664512
      102]","[nan  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  2.  2.
  2.  2.  3.  3.  3.  4.  4.  4.  4.  4.  4.  4.  4.  4.  5.  6.  6.  6.
  6.  6.  6.  6.  7.  7.  7.  7.  7.  7.  7.  8.  8.  8.  8.  8.  9.  9.
  9. 10. 10. 10. 10. 10. 10. 10. 10. 10. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0 -100]"
['Тому' 'літати' 'літаками' 'стало' 'небезпечно' '.'],['O' 'O' 'O' 'O' 'O' 'O'],6,"[     101  2103296 13664352  6459904 13665128  7641344 13664520  2103296
 13664456  2103296 13664512  7641344 13664520  2103296 13664456  2097472
 13664456  6459904 13664512  3151872  2103296 13664456  7641088 13664352
  6461440 13664256  2134528 13664256  3184640  2101760 13664256  2623488
  6461440 13664352      102]","[nan  0.  0.  0.  0.  1.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  2.  2.
  2.  3.  3.  3.  3.  3.  4.  4.  4.  4.  4.  4.  4.  4.  4.  4. nan]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0 -100]"
"['І' 'саме' 'через' 'це' 'більшість' 'аеропортів' 'Європи' 'припинили'
 'приймати/відправляти' 'рейси' '.']",['O' 'O' 'O' 'O' 'O' 'B-LOC' 'I-LOC' 'O' 'O' 'O' 'O'],7,"[     101 13664520  3151872 13664456  6459904 13664256  2623488 13664256
  7378944 13664256  3184640  2627584 13664256  2134528 13664520  7641344
  3147776 13664520  3151872  2103552 13664456 13664256  7378944 13664352
  2101760 13664352  7378944  2103552 13664520  3248640  5275904 13664256
  3248640  7378944 13664352  2101760 13664512  2101760  7378944 13664512
  2101760 13664512  6461440 13664512  7641088 13664512  2101760  7378944
 13664512  5275904  6459904 13664456  2103296 13664512  3248640 13664520
  2136064  2101760  7378944 13664456  3248640  7641344 13664456  2103296
 13664512  7378944 13664256  5275904  3151872 13664512      102]","[nan  0.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  4.  4.  4.  4.  4.
  4.  4.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  6.
  6.  7.  7.  7.  7.  7.  7.  7.  7.  7.  8.  8.  8.  8.  8.  8.  8.  8.
  8.  8.  8.  8.  8.  8.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    1    1    1    1    1    1    1    1
    1    1    2    2    2    2    2    2    2    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
 -100]"
['В' 'цій' 'ситуації' 'опинився' 'і' 'я' '.'],['O' 'O' 'O' 'O' 'O' 'B-PER' 'O'],8,"[     101  3248640  2627840 13664520  5275904  3151872 13664512  2103296
 13665128 13664456  2627840 13664520  5275904 13664520 13664352  2101760
 13664512  6461440 13664512  3248640  3152128 13664456 13664520  5275904
 13664456      102]","[nan  0.  1.  1.  1.  2.  2.  2.  2.  2.  2.  2.  2.  2.  3.  3.  3.  3.
  3.  3.  3.  3.  4.  5.  5. nan]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    5    5 -100]"
['Я' 'зараз' 'в' 'відрядженні' 'в' 'Амстердамі' '.'],['B-PER' 'O' 'O' 'O' 'O' 'B-GPE' 'O'],9,"[     101  5275904 13664456  3184640 13664456  7378944 13664456  3184640
  3248640  3248640 13664520  2136064  7379200 13664456  2136064  3180544
 13664256  6461440  6461696 13664520  3248640 13664456  6459904  3151872
  2103296 13664256  7378944  2136064 13664456  6459904 13664520      102]","[nan  0.  0.  1.  1.  1.  1.  1.  2.  3.  3.  3.  3.  3.  3.  3.  3.  3.
  3.  3.  4.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5. nan]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    5    5    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    3    3    3    3    3    3    3
    3    3    3 -100]"
