Tokens,Tags,__index_level_0__,input_ids,word_ids,attention_masks,labels
"['Де' 'можна' 'перегнати' 'контаки' '(' 'адресну' 'книгу' ')' 'з' 'Nokia'
 '5530' 'на' 'Iphone' '5s' '?']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],0,"[     101  2136064 13664256  6459904 13664352  3180544  6461440 13664456
  2101760 13664256  7378944 13664256  7372800  6461440 13664456  2103296
 13664512  2097472 13664352  6461440  2103296 13664456  2097472 13664512
 13664456  2136064  7378944 13664256  3151872  6461440 13665128  2097472
  6461440 13664512  7372800 13665128  3184640  6461440 13664360  2097472
 13664520 13664392  6461440 13664456 13664520  2101760  7340032 13664360
  6461440 13664264  3151872      102]","[nan  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  2.  2.  2.  2.  3.
  3.  3.  3.  3.  3.  3.  5.  5.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.
  8.  9.  9.  9.  9.  9. 11. 11. 12. 12. 12. 12. 12. 12. 13. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0 -100]"
"['Цікавить' 'місце' ',' 'де' 'можна' 'перегнати' 'контаки' '(' 'адресну'
 'книгу' ')' 'з' 'Nokia' '5530' 'на' 'Iphone' '5s' '?']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],1,"[     101  2627840 13664520  2097472 13664456  3248640 13664512  2103552
  6459904 13664520  3151872  2627584 13664256  2136064 13664256  6459904
 13664352  3180544  6461440 13664456  2101760 13664256  7378944 13664256
  7372800  6461440 13664456  2103296 13664512  2097472 13664352  6461440
  2103296 13664456  2097472 13664512 13664456  2136064  7378944 13664256
  3151872  6461440 13665128  2097472  6461440 13664512  7372800 13665128
  3184640  6461440 13664360  2097472 13664520 13664392  6461440 13664456
 13664520  2101760  7340032 13664360  6461440 13664264  3151872      102]","[nan  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  3.  3.  4.  4.  4.
  4.  4.  5.  5.  5.  5.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  6.  6.
  8.  8.  8.  8.  8.  8.  8.  9.  9.  9.  9.  9. 11. 12. 12. 12. 12. 12.
 14. 14. 15. 15. 15. 15. 15. 15. 16. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0 -100]"
['Звертався' 'в' 'магазини' 'моб' '.'],['O' 'O' 'B-LOC' 'I-LOC' 'I-LOC'],2,"[     101  3184640  3248640 13664256  7378944  2103296 13664456  3248640
  3152128 13664456  3248640  6459904 13664456  7372800 13664456  3184640
 13664512  6461440 13664512  6459904 13664352  2134528      102]","[nan  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  2.  2.  2.  2.  2.  2.  2.
  2.  3.  3.  3. nan]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0    0    0    0    1    1    1
    1    1    1    1    1    2    2    2 -100]"
"['зв*язку,' 'кажуть' 'що' 'можливо' ',' 'через' 'комп' '.']",['I-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],3,"[     101  3184640  3248640 13664456  3184640  2097472 13665128  2097472
 13664456  3180544 13665128  2103552  3147776  2623488 13664352  6459904
 13664352  3180544  7641088 13664512  3248640 13664352  2623488 13664256
  7378944 13664256  3184640  2097472 13664352  6459904  2101760      102]","[nan  0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  3.  3.  3.
  3.  3.  3.  3.  5.  5.  5.  5.  5.  6.  6.  6.  6. nan]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    2    2    2    2    2    2    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0 -100]"
"['програми' '..' 'але' 'самі' 'не' 'роблять' '..' 'Контактів' 'багато' ','
 'тому' 'варіант' 'вручну' 'переписувати' 'не' 'дуже' 'актуальний' '..']","['O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O']",4,"[     101  2101760  7378944 13664352  7372800  7378944 13664456  6459904
 13664512 13664456  7641088 13664256  3151872 13664456  6459904 13664520
  6461440 13664256  7378944 13664352  2134528  7641344 13664456  2103552
  2097472 13664352  6461440  2103296 13664456  2097472  2103552 13664520
  3248640  2134528 13664456  7372800 13664456  2103296 13664352  2103296
 13664352  6459904 13665128  3248640 13664456  7379200 13664520 13664456
  6461440  2103296  3248640  7378944 13665128  2623488  6461440 13665128
  2101760 13664256  7378944 13664256  2101760 13664512  3151872 13665128
  3248640 13664456  2103296 13664512  6461440 13664256  2136064 13665128
  3180544 13664256 13664456  2097472  2103296 13665128 13664456  7641344
  6461440 13664512  5275904      102]","[nan  0.  0.  0.  0.  0.  0.  0.  0.  2.  2.  2.  3.  3.  3.  3.  4.  4.
  5.  5.  5.  5.  5.  5.  7.  7.  7.  7.  7.  7.  7.  7.  7.  8.  8.  8.
  8.  8.  8. 10. 10. 10. 10. 11. 11. 11. 11. 11. 11. 11. 12. 12. 12. 12.
 12. 12. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 14. 14. 15. 15.
 15. 15. 16. 16. 16. 16. 16. 16. 16. 16. 16. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    5    5
    5    5    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0 -100]"
['а' 'через' 'сімку' '?'],['O' 'O' 'O' 'O'],5,"[     101 13664456  2623488 13664256  7378944 13664256  3184640  3152128
 13664520  6459904  2097472 13665128      102]",[nan  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2. nan],[1 1 1 1 1 1 1 1 1 1 1 1 1],[-100    0    0    0    0    0    0    0    0    0    0    0 -100]
"['скопіювати' 'на' 'сімку' ',' 'потім' 'на' 'айфон']",['O' 'O' 'O' 'O' 'O' 'O' 'O'],6,"[     101  3151872  2097472 13664352  2101760 13664520 13665128  3248640
 13664456  2103296 13664512  6461440 13664456  3152128 13664520  6459904
  2097472 13665128  2101760 13664352  2103552 13664520  6459904  6461440
 13664456 13664456  5275904  3215872 13664352  6461440      102]","[nan  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  2.  2.  2.  2.  2.
  4.  4.  4.  4.  4.  5.  5.  6.  6.  6.  6.  6. nan]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0 -100]"
['http://www.magiclady.net/publ/jumor_...one/24-1-0-866'],['O'],7,"[     101  7340032  2103296  2103296  2101760  5276512  5276512  5276512
  6459904 13664392 13664520  2097408  7641088 13664392  2136064 13665064
  6461440 13664264  2103296  2101760 13665128  2134528  7641088  5275904
 13665128  6459904 13664360  7378944 13664360  6461440 13664264      102]","[nan  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. nan]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0 -100]"
"['Цитата' ':' 'Допис' 'від' 'Sergyjko'
 'http://www.magiclady.net/publ/jumor_...one/24-1-0-866']",['O' 'O' 'O' 'O' 'B-PER' 'O'],8,"[     101  2627584 13664512  2103296 13664456  2103296 13664456  2136064
 13664352  2101760 13664512  3151872  3248640 13664520  2136064  3151872
 13664264  7378944 13665064  5275904  2097472 13664360  7340032  2103296
  2103296  2101760  5276512  5276512  5276512  6459904 13664392 13664520
  2097408  7641088 13664392  2136064 13665064  6461440 13664264  2103296
  2101760 13665128  2134528  7641088  5275904 13665128  6459904 13664360
  7378944 13664360  6461440 13664264      102]","[nan  0.  0.  0.  0.  0.  0.  2.  2.  2.  2.  2.  3.  3.  3.  4.  4.  4.
  4.  4.  4.  4.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.
  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5.  5. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    5    5    5    5    5    5    5    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0 -100]"
"['Мені' 'легше' 'заплатити' ',' 'ніж' 'півдня' 'витратити' 'на' 'цю'
 'спец' '.']",['B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],9,"[     101  6459904 13664256  6461696 13664520  7641088 13664256  7372800
  3147776 13664256  3184640 13664456  2101760  7641088 13664456  2103296
 13664512  2103296 13664512  6461696 13664520  3180544  2101760 13664520
  3248640  2136064  6461696 13664456  3248640 13664512  2103296  7378944
 13664456  2103296 13664512  2103296 13664512  6461440 13664456  2627840
 13665128  3151872  2101760 13664256  2627584      102]","[nan  0.  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  2.  2.  2.
  2.  4.  4.  4.  5.  5.  5.  5.  5.  5.  6.  6.  6.  6.  6.  6.  6.  6.
  6.  7.  7.  8.  8.  9.  9.  9.  9. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1]","[-100    5    5    5    5    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0 -100]"
