Tokens,Tags,__index_level_0__,input_ids,word_ids,attention_masks,labels
['বাংলাদেশে' 'আশাব্যাঞ্জকহারে' 'কমেছে' 'মা' 'ও' 'শিশু' 'মত্যুর' 'হার' '।'],['B-NAM' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],0,"[     101  2134528 13664392  6455616  7642112 13664392  2137088 13664264
  3673344 13664264 13664392  3673344 13664392  2134528  2660352 13664392
  6461440  2657536 13664352  2097472 13664352  7340032 13664392  7378944
 13664264  2097472 13664352  6459904 13664264  2641152 13664264  6459904
 13664392 13664360  3673344 13664520  3673344 13665128  6459904 13664352
  2104320  2660352 13665128  7378944  7340032 13664392  7378944      102]","[nan  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  2.  3.  3.  4.  5.  5.
  5.  5.  6.  6.  6.  6.  6.  6.  7.  7.  7. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]","[-100   11   11   11   11   11   11   11   11   11    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0 -100]"
['বাংলাদেশে' 'আশাব্যাঞ্জকহারে' 'কমেছে' 'মা' 'ও' 'শিশু' 'মত্যুর' 'হার'],['B-NAM' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],1,"[     101  2134528 13664392  6455616  7642112 13664392  2137088 13664264
  3673344 13664264 13664392  3673344 13664392  2134528  2660352 13664392
  6461440  2657536 13664352  2097472 13664352  7340032 13664392  7378944
 13664264  2097472 13664352  6459904 13664264  2641152 13664264  6459904
 13664392 13664360  3673344 13664520  3673344 13665128  6459904 13664352
  2104320  2660352 13665128  7378944  7340032 13664392  7378944      102]","[nan  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  2.  3.  3.  4.  5.  5.
  5.  5.  6.  6.  6.  6.  6.  6.  7.  7.  7. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]","[-100   11   11   11   11   11   11   11   11   11    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0 -100]"
"['প্রতি' 'বছর' 'বাংলাদেশে' 'প্রায়' '৩০' 'লাখ' 'অপুষ্ট' 'শিশুর' 'জন্ম' 'হয়'
 '।']",['O' 'O' 'B-NAM' 'O' 'B-NOM' 'I-NOM' 'I-NOM' 'I-NOM' 'O' 'O' 'O'],2,"[     101  2101760  7378944 13664352  2104320 13664520  2134528 13664352
  2641152 13664352  7378944 13664352  2134528 13664392  6455616  7642112
 13664392  2137088 13664264  3673344 13664264  2101760  7378944 13664392
  5275656  7642112 13664392  2113856 13664360  2101760 13665128  3147776
  2103296 13664352  3673344 13664520  3673344 13665128  7378944  2657536
 13664352  6462464  6459904 13664352  7340032  5275656 13664352      102]","[nan  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  2.
  2.  2.  2.  3.  3.  3.  3.  5.  5.  5.  6.  6.  6.  6.  6.  6.  7.  7.
  7.  7.  7.  8.  8.  8.  8.  8.  9.  9.  9. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0   11   11
   11   11   11   11   11   11   11    0    0    0    0   14   14   14
   14   14   14   14   14   14   14   14   14   14   14    0    0    0
    0    0    0    0    0 -100]"
"['আর' 'এর' 'অন্যতম' 'কারণ' 'হচ্ছে' ',' 'এদেশের' '৬৫' 'ভাগ' 'মা’ই' 'শিশু'
 'বয়সেই' 'সন্তানের' 'জন্ম' 'দিয়ে' 'থাকেন' '।']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-NOM' 'I-NOM' 'I-NOM' 'O' 'O' 'O' 'O' 'O'
 'O' 'O']",3,"[     101 13664392  7378944 13664264  7378944 13664360  6462464  2660352
 13664352  2104320 13664352  6459904 13664352  2097472 13664392  7378944
 13664352  6461440 13664352  7340032 13664352  2624768  2641152 13664264
 13664264  2137088 13664264  3673344 13664264  7378944  2150912 13664392
  2130240  6459904 13664392 13664520  3673344 13664520  3673344 13665128
  2134528  5275656 13664352  3152896 13664264 13664520  3152896 13664352
  6462464  2104320 13664392  6462464 13664264  7378944  2657536 13664352
  6462464  6459904 13664352  2137088 13664520  5275656 13664264  2120704
 13664392  2097472 13664264  6462464      102]","[nan  0.  0.  1.  1.  2.  2.  2.  2.  2.  2.  2.  2.  3.  3.  3.  3.  3.
  3.  4.  4.  4.  4.  4.  6.  6.  6.  6.  6.  6.  8.  8.  8.  9.  9.  9.
 10. 10. 10. 10. 11. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 12. 12. 12.
 13. 13. 13. 13. 13. 14. 14. 14. 14. 15. 15. 15. 15. 15. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0   14   14   14   14   14   14    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0 -100]"
"['তাই' 'মায়ের' 'অপ্রস্তুত' 'শরীরে' 'স্বাস্থ্যবান' 'শিশুর' 'জন্ম' 'হয়' 'না'
 '।']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],4,"[     101  2104320 13664392 13664520  6459904 13664392  5275656 13664264
  7378944 13664360  2101760  7378944 13664352  3152896  2104320 13665128
  2104320  3673344 13664352  7378944 13664520  7378944 13664264  3152896
  2134528 13664392  3152896  2120704  2660352 13664352  2134528 13664392
  6462464  3673344 13664520  3673344 13665128  7378944  2657536 13664352
  6462464  6459904 13664352  7340032  5275656 13664352  6462464 13664392
      102]","[nan  0.  0.  0.  1.  1.  1.  1.  1.  2.  2.  2.  2.  2.  2.  2.  2.  3.
  3.  3.  3.  3.  3.  4.  4.  4.  4.  4.  4.  4.  4.  4.  4.  5.  5.  5.
  5.  5.  6.  6.  6.  6.  6.  7.  7.  7.  8.  8. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0 -100]"
['আর' 'শিশু' 'মায়ের' 'বাচ্চাটিও' 'বেড়ে' 'ওঠে' 'গতিহীনভাবে' '।'],['O' 'B-NOM' 'I-NOM' 'I-NOM' 'O' 'O' 'O' 'O'],5,"[     101 13664392  7378944  3673344 13664520  3673344 13665128  6459904
 13664392  5275656 13664264  7378944  2134528 13664392  2624768  2624768
 13664392  2103296 13664520 13664360  2134528 13664264  7374848 13664264
 13664360  2119680 13664264  2130240 13664352  2104320 13664520  7340032
 13664520  6462464  2150912 13664392  2134528 13664264      102]","[nan  0.  0.  1.  1.  1.  1.  2.  2.  2.  2.  2.  3.  3.  3.  3.  3.  3.
  3.  3.  4.  4.  4.  4.  5.  5.  5.  6.  6.  6.  6.  6.  6.  6.  6.  6.
  6.  6. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1]","[-100    0    0   13   13   13   13   14   14   14   14   14   14   14
   14   14   14   14   14   14    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0 -100]"
"['তাছাড়া' 'বর্তমানে' '৩৭' 'ভাগ' 'খর্বাকৃত্তির' 'বাচ্চাদের' 'নিয়ে' 'শুধু'
 'মা’ই' 'নন' 'পুরো' 'সংসার' 'ভোগেন' 'অশান্তিতে' '।']","['O' 'O' 'B-NOM' 'I-NOM' 'I-NOM' 'I-NOM' 'O' 'B-NOM' 'I-NOM' 'I-NOM'
 'I-NOM' 'I-NOM' 'O' 'O' 'O']",6,"[     101  2104320 13664392  2641152 13664392  7374848 13664392  2134528
 13664352  7378944  2104320 13664352  6459904 13664392  6462464 13664264
  2150912 13664392  2130240  2113856 13664352  7378944  2134528 13664392
  2097472  7374848 13664520  2104320  2104320 13664520  7378944  2134528
 13664392  2624768  2624768 13664392  2137088 13664264  7378944  6462464
 13664520  5275656 13664264  3673344 13665128  2153472 13665128  6459904
 13664392 13664520  6462464 13664352  6462464 13664352  2101760 13665128
  7378944 13664360  3152896 13664352  6455616  3152896 13664392  7378944
  2150912 13664360  2130240 13664264  6462464 13664360  3673344 13664392
  6462464  2104320 13664520  2104320 13664264      102]","[nan  0.  0.  0.  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  3.  3.
  3.  4.  4.  4.  4.  4.  4.  4.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.
  5.  5.  5.  6.  6.  6.  6.  7.  7.  7.  7.  8.  8.  8.  9.  9.  9.  9.
 10. 10. 10. 10. 11. 11. 11. 11. 11. 11. 12. 12. 12. 12. 12. 13. 13. 13.
 13. 13. 13. 13. 13. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0   14   14   14   14   14   14   14   14   14   14   14   14
   14   14   14   14   14   14   14   14   14   14   14    0    0    0
    0   13   13   13   13   14   14   14   14   14   14   14   14   14
   14   14   14   14   14   14   14   14    0    0    0    0    0    0
    0    0    0    0    0    0    0 -100]"
"['তবে' 'আশার' 'কথা' 'হচ্ছে' 'ইউএসআআইডি’র' 'তথ্য' 'মতে' 'কী' 'গ্রামাঞ্চল'
 'কী' 'শহর' 'এখন' 'অনেক' 'মা' '’' 'বা' 'পরিবার' 'হাসপাতালে' 'নিরাপদে'
 'বাচ্চা' 'ভুমিষ্টের' 'জন্য' 'দারুণভাবে' 'সচেতন' '।']","['O' 'O' 'O' 'O' 'B-NAM' 'O' 'O' 'O' 'B-NOM' 'O' 'B-NOM' 'O' 'O' 'B-NOM'
 'I-NOM' 'I-NOM' 'I-NOM' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",7,"[     101  2104320 13664352  2134528 13664264 13664392  3673344 13664392
  7378944  2097472 13664352  2120704 13664392  7340032 13664352  2624768
  2641152 13664264 13664520 13665128 13664264  3152896 13664392 13664392
 13664520  2136064 13664520  7378944 13664352  2104320 13664352  2120704
  2660352 13664352  6459904 13664352  2104320 13664264  2097472 13664520
  2130240 13664352  7378944 13664392  6459904 13664392  6461440  2624768
 13664352  7642112 13664352  2097472 13664520  3673344 13664352  7340032
 13664352  7378944 13664352 13664264  2113856 13664352  6462464 13664352
 13664360  6462464 13664264  2097472  6459904 13664392  2134528 13664392
  2101760 13664352  7378944 13664520  2134528 13664392  7378944  7340032
 13664392  3152896  2101760 13664392  2104320 13664392  7642112 13664264
  6462464 13664520  7378944 13664392  2101760  2137088 13664264  2134528
 13664392  2624768  2624768 13664392  2150912 13665128  6459904 13664520
  3147776  2103296 13664264  7378944  2657536 13664352  6462464  2660352
 13664352  2137088 13664392  7378944 13665128  6461440  2150912 13664392
  2134528 13664264  3152896 13664352  2624768 13664264  2104320 13664352
  6462464 13664352      102]","[nan  0.  0.  0.  0.  1.  1.  1.  1.  2.  2.  2.  2.  3.  3.  3.  3.  3.
  4.  4.  4.  4.  4.  4.  4.  4.  4.  4.  4.  5.  5.  5.  5.  5.  6.  6.
  6.  6.  7.  7.  8.  8.  8.  8.  8.  8.  8.  8.  8.  8.  8.  9.  9. 10.
 10. 10. 10. 10. 10. 11. 11. 11. 11. 11. 12. 12. 12. 12. 13. 13. 15. 15.
 16. 16. 16. 16. 16. 16. 16. 17. 17. 17. 17. 17. 17. 17. 17. 17. 18. 18.
 18. 18. 18. 18. 18. 19. 19. 19. 19. 19. 20. 20. 20. 20. 20. 20. 20. 20.
 21. 21. 21. 21. 21. 22. 22. 22. 22. 22. 22. 22. 22. 22. 23. 23. 23. 23.
 23. 23. 23. 23. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0   11   11   11   11   11   11   11   11   11   11
   11    0    0    0    0    0    0    0    0    0    0    0   13   13
   13   13   13   13   13   13   13   13   13    0    0   13   13   13
   13   13   13    0    0    0    0    0    0    0    0    0   13   13
   14   14   14   14   14   14   14   14   14    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0 -100]"
"['তাছাড়া' '২০০১' 'সালে' 'শিশুর' 'জন্ম' 'দিতে' 'গিয়ে' 'প্রতি' 'লাখে' '৩২২'
 'জন' 'মা' 'মারা' 'যেতেন' '।']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-NOM' 'I-NOM' 'O' 'O' 'O' 'O'],8,"[     101  2104320 13664392  2641152 13664392  7374848 13664392  3152896
 13664392  7642112 13664264  3673344 13664520  3673344 13665128  7378944
  2657536 13664352  6462464  6459904 13664352  2137088 13664520  2104320
 13664264  2130240 13664520  5275656 13664264  2101760  7378944 13664352
  2104320 13664520  7642112 13664392  2113856 13664264  2657536 13664352
  6462464 13664352  6459904 13664392  6459904 13664392  7378944 13664392
  2660352 13664264  2104320 13664264  6462464      102]","[nan  0.  0.  0.  0.  0.  0.  2.  2.  2.  2.  3.  3.  3.  3.  3.  4.  4.
  4.  4.  4.  5.  5.  5.  5.  6.  6.  6.  6.  7.  7.  7.  7.  7.  8.  8.
  8.  8. 10. 10. 10. 10. 11. 11. 12. 12. 12. 12. 13. 13. 13. 13. 13. nan]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]","[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0   14   14   14   14
    0    0    0    0    0    0    0    0    0    0    0 -100]"
['আর' '২০১০' 'সালে' 'এসে' 'তা' 'কমে' 'দাঁড়িয়েছে' '১৯৪' 'জনে' '।'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-NOM' 'I-NOM' 'O'],9,"[     101 13664392  7378944  3152896 13664392  7642112 13664264 13664264
  3152896 13664264  2104320 13664392  2097472 13664352  6459904 13664264
  2137088 13795424  7374848 13664520  5275656 13664264  2641152 13664264
  2657536 13664352  6462464 13664264      102]","[nan  0.  0.  2.  2.  2.  2.  3.  3.  3.  4.  4.  5.  5.  5.  5.  6.  6.
  6.  6.  6.  6.  6.  6.  8.  8.  8.  8. nan]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0   14   14   14   14
 -100]"
